Under five mortality,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lebanon,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.87,447.83,447.76,447.64,447.47,447.22,446.91,446.52,446.07,445.54,444.95,444.28,443.54,442.74,441.86,440.93,439.95,438.93,437.89,436.84,435.79,434.74,433.69,432.63,431.57,430.5,429.43,428.37,427.31,426.25,425.18,424.12,423.06,422,420.94,419.88,418.81,417.74,416.68,415.62,414.56,413.5,412.44,411.37,410.31,409.25,408.19,371.35,336.91,304.62,274.22,246.48,219.36,200.21,182.74,166.79,152.23,138.94,126.81,115.74,105.64,96.42,88,85.4,82.7,80,77.4,75.1,72.9,70.9,69.1,67.6,66.3,65.2,64.2,63.4,62.7,61.9,61.2,60.5,59.6,58.6,57.4,56,54.5,52.9,51.2,49.4,47.5,45.6,43.6,41.6,39.6,37.7,35.9,34.1,32.5,31,29.6,28.3,27,25.8,24.6,23.5,22.3,21.2,20,18.8,17.6,16.4,15.2,14.1,13,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3
Lesotho,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.24,407.23,407.2,407.13,407.03,406.87,406.64,406.36,406.01,405.59,405.11,404.57,403.97,403.3,402.57,401.77,400.92,400.03,399.11,398.16,396.68,395.22,393.75,392.29,390.82,389.37,387.91,386.46,385,383.55,382.11,380.66,379.22,377.78,376.34,374.9,373.47,372.04,370.61,369.19,367.77,366.35,364.93,363.52,362.1,360.69,359.29,357.88,346.08,334.66,323.63,312.95,302.63,292.65,282.99,273.66,264.63,255.9,244.35,233.3,226.2,219.4,212.9,206.9,201.5,197.2,193.8,191.5,190.2,189.7,189.7,189.7,189.5,188.8,187.1,184.5,181,177,172.9,168.5,163.9,158.8,153.3,147.4,141.2,135,128.7,122.6,116.7,111.1,105.9,101.3,97.2,93.6,90.4,87.7,85.4,83.7,82.8,82.9,84,86.4,89.6,93,96.4,99.8,102.9,106,108.6,111.2,113.8,115.8,117.3,118.3,115.6,114.2,105.7,101.5,98.5,97.5,98.9,98.4,97.1
Liberia,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.15,429.11,429.05,428.93,428.77,428.53,428.23,427.86,427.42,426.92,426.35,425.71,425.01,424.23,423.4,422.5,421.56,420.59,419.59,418.58,417.58,415.59,413.61,411.64,409.67,407.7,405.73,403.79,401.83,399.88,397.95,396.01,394.07,392.15,390.22,388.3,386.38,384.48,382.58,380.67,378.78,376.89,375,373.12,371.25,369.38,367.51,365.65,363.79,361.94,360.1,358.25,353.16,347.57,342.07,336.66,331.32,326.07,320.9,315.81,310.8,311.4,313.2,314.1,315,315.7,316.3,316.4,315.4,314,311.7,308.8,305.6,301.4,296.8,291.6,286.3,281.2,276.2,271.3,266.1,261.2,256.8,252.3,248.4,244.6,241.1,238,235.6,234,233.7,235,237.8,242.1,246.9,251.5,255,256.7,255.4,251.6,245.5,237.4,227.7,217.1,205.8,193.9,181.8,169.7,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
Libya,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.68,404.65,404.58,404.48,404.32,404.1,403.81,403.47,403.05,402.58,402.04,401.44,400.77,400.05,399.26,398.41,397.52,396.61,395.67,394.72,393.77,392.82,391.87,390.85,389.84,388.82,387.81,386.79,385.78,384.76,383.75,382.73,381.72,380.71,379.69,378.68,377.67,376.65,375.64,374.64,373.63,372.62,371.61,370.6,369.59,368.58,367.57,367.37,367.16,366.96,366.75,366.55,366.34,366.14,365.93,365.73,365.52,365.32,365.12,364.91,364.71,364.5,364.3,341.7,320.3,300.3,281.5,263.4,246.7,230.7,215.2,200.6,186.6,173.2,160.5,148.7,137.8,127.6,118.3,109.9,102.3,95.5,89.4,84,79.1,74.8,70.8,67.2,63.7,60.5,57.3,54.4,51.6,48.9,46.3,43.9,41.6,39.5,37.6,35.9,34.4,33.1,31.9,30.8,29.9,29,28.1,27.3,26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,458.81,453.33,446.51,441.12,435.79,430.46,423.95,418.74,413.61,408.51,402.19,397.2,392.21,387.32,381.21,376.4,371.61,365.67,360.97,356.28,351.67,345.92,341.38,336.86,332.36,326.79,322.31,317.88,313.41,307.87,303.39,298.89,295.45,290.93,287.44,282.92,279.4,274.86,271.32,266.77,263.23,258.72,255.2,250.76,247.31,242.93,239.55,235.27,231.93,227.74,224.47,220.34,217.15,213.09,209.95,205.99,201.19,196.49,190.98,186.37,181.8,177.33,172.1,167.74,163.43,159.18,154.98,150.1,146.02,142,138.04,133.41,129.57,125.77,122.04,118.34,114.06,110.47,106.98,103.5,99.07,94.83,90.77,86.89,83.17,79.61,76.2,72.94,69.82,66.83,48.54,45.3,45.25,43.42,37.22,32.28,30.33,29.9,28.9,27.4,25.4,23.5,22.8,23.5,24.6,25.1,24.9,24.4,23.9,23.3,22.5,21.8,21.2,20.6,20,19.1,18,16.8,15.8,15.5,16.5,18.4,19.8,19.7,18.4,16.6,14.8,13.5,12.8,12.3,11.8,11.3,10.9,10.6,10.3,9.9,9.4,8.8,8.2,7.4,6.8,6.1,5.5,4.9,4.4,4
Luxembourg,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,357.45,351.67,345.92,340.25,334.6,329.04,323.5,318.04,312.61,307.25,301.91,296.65,291.41,286.24,281.1,275.01,269.93,264.92,259.89,254.91,249.9,244.94,239.95,238.77,249.93,270.2,256,251.71,228.61,251.72,238.83,220.81,251.01,227.03,214.77,215.14,202.36,214.1,232.49,286.87,262.42,174.06,160.9,167.61,171.98,155.08,170.32,181.16,160.81,164.29,185.47,152.7,146.32,152.67,140.41,128.59,133.91,118.95,119.31,132.16,123.46,113.02,125.54,137.12,166.29,218.6,204.5,113.19,103.21,94.26,92.17,89.53,82.04,75.17,68.88,63.12,57.84,53,48.56,44.5,40.78,37.36,32.13,35.82,33.43,29.2,28.1,27,25.9,24.7,23.6,22.4,21.1,20,18.8,17.7,16.7,15.8,15.1,14.4,13.8,13.3,12.9,12.5,12,11.6,11.2,10.7,10.2,9.8,9.3,8.8,8.3,7.7,7.3,6.8,6.4,6,5.7,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.5,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.41,24.24,23.12,22.05,21.03,20.05,19.12,18.23,17.39,16.58,15.81,15.08,14.37,13.71,13.07,12.46,11.88,11.33,10.8,10.3,9.82,9.36,8.92,8.51,8.11,7.73,7.37,7.04,6.72,6.42,6.14,5.86,5.59,5.33,5.07,4.81
"Macedonia, FYR",396.8,396.65,396.5,396.34,396.19,396.04,395.89,395.74,395.59,395.43,395.28,395.13,394.98,394.83,394.68,394.53,394.38,394.22,394.07,393.92,393.77,393.62,393.47,393.32,393.17,393.02,392.87,392.72,392.57,392.42,392.27,392.12,391.97,391.82,391.67,391.52,391.37,391.22,391.07,390.92,390.77,390.62,390.47,390.32,390.17,390.02,389.87,389.72,389.57,389.42,389.27,389.12,388.98,388.83,388.68,388.53,388.38,388.23,388.08,387.93,387.79,387.64,387.49,387.34,387.19,387.04,386.9,386.75,386.6,386.45,386.3,386.16,386.01,385.86,385.71,385.56,385.42,385.27,385.12,384.97,384.83,384.68,384.53,384.38,384.24,384.09,383.94,383.8,383.65,383.5,383.36,383.21,383.06,382.92,382.77,382.62,382.48,382.33,382.18,382.04,381.89,378.57,375.29,372.03,368.8,365.6,362.42,359.28,356.16,353.06,350,346.96,343.95,340.96,338,335.07,332.16,329.27,326.41,323.58,320.77,317.98,315.22,312.49,309.77,307.08,304.42,301.77,299.15,296.56,293.98,291.43,283.58,275.94,268.5,261.27,254.23,247.38,240.72,234.23,227.92,221.78,215.8,209.97,204.31,198.79,193.43,188.21,183.13,178.19,173.38,174.64,175.91,177.19,178.48,179.78,181.09,182.4,183.73,185.07,186.41,178.71,171.32,164.24,157.45,150.94,144.7,138.72,132.98,127.48,122.21,113.94,106.22,99.02,92.32,86.06,80.23,74.8,69.73,65.01,61.99,56.5,55,53,50.8,49.5,48.8,47.3,43.9,39.7,36.6,35,33.5,31.1,27.8,24.6,21.8,19.6,18.1,16.9,16,15.2,14.5,14.2,14,13.7,13.2,12.5,11.8,11,9.9,8.6,7.4,6.6,6,5.5
Madagascar,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.11,437.08,437.01,436.9,436.73,436.49,436.18,435.8,435.36,434.85,434.26,433.61,432.9,432.11,431.26,430.34,429.39,428.39,427.38,426.35,425.33,424.3,423.28,422.25,421.23,420.2,419.17,418.15,417.12,416.1,415.07,414.05,413.02,411.99,410.97,408.4,405.86,403.3,400.77,398.24,395.71,393.2,390.69,388.19,385.69,383.22,380.73,378.26,375.8,373.35,370.9,368.46,354.99,342.99,330.26,317.91,306.87,301.91,295.07,288.01,281.59,274.07,260.6,247.8,235.61,224.02,213,202.52,192.55,183.06,174.04,165.47,159.77,153.95,148.6,150.2,151.9,153.7,155.7,158.2,161,163.5,165.9,168,170.1,172.2,174.6,177.6,180.3,182.4,183.1,182.4,180.1,176.5,171.7,166.2,160.7,155.8,151.3,147.1,142.9,138.4,133.4,127.7,121.7,115.5,109.2,103.1,97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6
Malawi,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.78,439.75,439.68,439.56,439.39,439.15,438.84,438.46,438.01,437.5,436.91,436.26,435.54,434.75,433.89,432.97,432.01,431.01,429.99,428.96,427.92,426.89,425.86,424.83,423.79,422.76,421.73,420.7,419.26,417.82,416.38,414.95,413.52,412.09,410.65,409.23,407.81,406.39,404.97,403.54,402.13,400.72,399.31,397.9,396.48,395.08,393.67,392.03,390.4,388.77,387.14,385.52,383.91,382.31,380.71,379.12,377.53,375.95,374.38,372.81,371.25,369.7,368.15,366.61,365.07,363.54,362.02,360.5,358.7,356.7,355.2,353.5,351.4,350.1,348.3,345.8,342,336.9,330.3,322.7,314.5,305.8,296.4,286.3,275.9,265.4,256.6,249.4,245,243.7,245.2,248.2,250.4,250.2,247.4,242.5,235.9,227.8,219.6,212.3,206.4,201.9,198.2,194.6,189.9,182.7,172.8,160.7,147.5,134.9,124.5,116.5,110.5,105.8,101.1,96.5,92,85.7,78.6,72.6,68.2,65.4
Malaysia,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.78,435.75,435.68,435.57,435.39,435.16,434.85,434.47,434.03,433.52,432.94,432.29,431.58,430.79,429.94,429.03,428.08,427.09,426.08,425.05,424.03,423.01,421.99,420.95,419.92,418.89,417.86,416.83,415.8,414.77,413.74,412.7,411.67,410.64,409.61,408.58,407.55,393.03,377.73,364.01,349.55,336.56,322.83,310.49,297.43,285.69,274.23,262.12,251.22,239.67,229.28,218.26,208.37,196.56,185.43,174.93,165.02,155.67,146.85,138.53,130.69,123.28,116.3,110,104,98.3,92.8,87.8,83.1,78.8,74.7,71,67.5,64.3,61.3,58.5,55.8,53.1,50.5,47.8,45.2,42.5,40,37.4,35,32.7,30.5,28.5,26.6,24.8,23.2,21.8,20.5,19.4,18.4,17.4,16.6,15.8,15.1,14.4,13.8,13.3,12.9,12.4,11.7,11,10.2,9.5,8.9,8.5,8.3,8.1,8,8,8,8.1,8.3,8.4,8.4,8.4,8.4,8.2
Maldives,458.24,457.54,456.84,456.14,455.44,454.74,454.04,453.35,452.65,451.96,451.27,450.58,449.89,449.2,448.51,447.82,447.14,446.45,445.77,445.09,444.4,443.72,443.04,442.37,441.69,441.01,440.34,439.66,438.99,438.32,437.64,436.97,436.3,435.64,434.97,434.3,433.64,432.97,432.31,431.65,430.99,430.33,429.67,429.01,428.35,427.7,427.04,426.39,425.73,425.08,424.43,423.78,423.13,422.48,421.84,421.19,420.54,419.9,419.26,418.61,417.97,417.33,416.69,416.06,415.42,414.78,414.15,413.51,412.88,412.25,411.62,410.98,410.36,409.73,409.1,408.47,407.85,407.22,406.6,405.98,405.35,404.73,404.11,403.49,402.88,402.26,401.64,401.03,400.41,399.8,399.19,398.58,397.97,397.36,396.75,396.14,395.53,394.93,394.32,393.72,393.11,392.51,391.91,391.31,390.71,390.11,389.52,388.92,388.32,387.73,387.13,386.54,385.95,385.36,384.77,384.18,383.59,383,382.42,381.83,381.25,380.66,380.08,379.39,378.71,378.03,377.35,376.67,375.99,375.32,374.64,373.97,373.3,372.62,371.95,371.28,370.62,369.95,369.28,368.62,367.95,367.29,366.63,365.97,365.31,364.65,364,363.34,362.69,362.03,361.38,359.21,355.93,352.22,350.01,347.81,345.63,343.46,341.3,339.15,337.02,334.9,332.8,323.5,315,306.6,297.9,289,279.8,270.5,260.9,250.5,239.5,227.9,215.9,204.4,193.4,183,173.2,163.9,155.3,147.3,140,133.1,126.6,120.3,114.5,108.9,103.7,98.8,94.1,89.5,85.1,80.4,75.7,70.8,65.8,60.5,55.2,49.8,44.4,39.2,34.3,29.9,28.8,22.8,20.1,17.8,16,14.4,13,11.8,10.7,9.9,9.2,8.6
Mali,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.47,494.43,494.35,494.22,494.03,493.76,493.41,492.98,492.48,491.9,491.24,490.51,489.7,488.81,487.84,486.81,485.73,484.6,483.46,482.3,481.14,479.98,478.82,477.66,476.5,475.33,474.17,469.56,464.99,460.46,455.61,450.81,446.05,441.35,436.7,432.09,427.54,429.28,431.03,432.78,434.54,436.31,438.09,439.87,441.66,443.46,445.26,447.07,448.89,450.71,452.54,454.38,456.23,458.08,459.94,461.81,463.68,465.56,467.45,469.35,471.25,473.16,475.08,477.01,478.94,480.88,482.83,469.44,456.46,443.5,435.8,428.5,421.8,415.4,409.8,404.6,400,395.4,390.3,384,376.6,368.3,359.4,350.4,341.4,332.9,324.7,317,308.9,300.7,292.6,285,277.9,271.3,265.2,259.5,254.4,250,246.6,243.9,242,240,237.9,235.3,231.7,226.4,219.6,211.2,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7
Malta,459.52,453.34,447.24,441.23,435.29,429.44,423.66,417.96,412.34,406.8,401.32,395.93,390.6,385.35,380.16,375.05,370.01,365.03,360.12,355.28,350.5,345.78,341.13,336.54,332.02,327.55,323.15,318.8,314.51,310.28,306.11,301.99,297.93,293.92,289.97,286.07,282.22,278.43,274.68,270.99,267.34,263.75,260.2,256.7,253.25,249.84,246.48,243.16,239.89,236.67,233.48,230.34,227.25,224.19,221.17,218.2,215.26,212.37,209.51,206.69,203.91,201.17,198.47,195.8,193.16,190.56,188,185.47,182.98,180.52,178.09,175.69,173.33,171,168.7,166.43,164.19,161.98,159.8,157.66,155.53,153.44,151.38,149.34,147.33,145.35,143.4,141.47,139.57,137.69,135.84,134.01,132.21,130.43,128.67,126.94,125.24,123.55,121.89,120.25,118.63,117.04,115.46,113.91,112.38,110.87,109.38,107.9,106.45,105.02,103.61,102.22,100.84,99.48,98.15,96.83,95.52,94.24,92.97,91.72,90.49,89.27,88.07,86.89,85.72,84.56,83.43,82.3,81.2,80.11,79.03,77.96,76.92,75.88,74.86,73.85,72.86,71.88,70.91,69.96,69.02,68.09,67.17,66.27,65.38,64.5,63.63,62.78,61.93,61.1,60.28,59.47,58.67,57.88,57.1,53.7,50.6,47.7,45,42.6,40.7,39.1,37.7,36.5,35.4,34.3,33.1,31.8,30.5,29.2,27.8,26.5,25.1,23.8,22.6,21.4,20.2,19.2,18.3,17.6,16.9,16.3,15.7,15.1,14.5,13.9,13.3,12.8,12.3,11.8,11.4,11,10.6,10.2,9.9,9.5,9.1,8.7,8.4,8.1,7.8,7.5,7.3,7.1,7,6.9,6.8,6.7,6.6,6.5,6.4,6.4,6.3,6.1,6,5.9
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4,129,123.7,118.6,114,109.4,105,101.1,97.3,93.7,90.5,87.5,84.7,82.4,80.4,78.7,77.3,76,74.7,73.5,72.1,70.5,68.8,66.9,64.9,62.8,60.7,58.7,56.6,54.5,52.4,50.3,48.3,46.4,44.8,43.4,42.5,41.9,41.6,41.5,41.5,41.4,41.3,41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37,36
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16,29.61,28.13,26.73,25.4,24.14,22.94,21.8,20.72,19.69,18.72,17.79,16.91,16.07,15.28,14.52,13.79,13.09,12.42,11.78,11.19,10.67,10.23,9.86,9.56,9.31,9.1,8.9,8.68,8.44,8.17,7.87,7.55,7.22,6.9,6.58
Mauritania,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.42,417.39,417.33,417.22,417.05,416.83,416.53,415.38,414.17,412.89,411.54,410.14,408.68,407.15,405.56,403.92,402.24,400.53,398.8,397.07,395.34,393.62,391.89,390.18,388.46,386.75,385.04,383.34,381.64,379.95,378.26,376.58,374.89,373.21,371.53,369.86,368.19,366.52,364.86,363.2,361.55,359.9,358.25,356.61,354.97,353.33,351.7,348.2,345.2,342.1,339.3,336,332.6,329,325.1,320.9,316.4,311.4,306.3,300.7,294.8,288.8,282.7,276.2,269.6,262.8,255.9,249,242,235.2,228.5,222,215.5,208.8,202.6,197.5,193.9,191.5,190.2,189.3,188,185.5,182,178,173.4,168.6,164.1,159.5,154.9,150,144.8,139.2,133.7,128.6,124.3,120.7,118.1,116.2,114.9,114.3,113.9,113.8,113.9,113.9,113.9,113.6,113.5,113.1,112.9,112.4,111.4,109.8,107.9,105.5,103,100.4,97.8,95.4,92.7,90.2,87.5,84.7
