"Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"Shelby Miller","ARI","SP","$ 4,350,000","1 (2016)","$ 4,350,000","$ 4,350,000"
"Matt Harvey","NYM","SP","$ 4,325,000","1 (2016)","$ 4,325,000","$ 4,325,000"
"Michael Pineda","NYY","SP","$ 4,300,000","1 (2016)","$ 4,300,000","$ 4,300,000"
"Chris Young","KC","SP","$ 4,250,000","2 (2016-17)","$ 11,500,000","$ 5,750,000"
"Chris Iannetta","SEA","C","$ 4,250,000","1 (2016)","$ 4,250,000","$ 4,250,000"
"Henderson Alvarez","OAK","SP","$ 4,250,000","1 (2016)","$ 4,250,000","$ 4,250,000"
"Trevor Cahill","CHC","RP","$ 4,250,000","1 (2016)","$ 4,250,000","$ 4,250,000"
"Danny Duffy","KC","RP","$ 4,225,000","1 (2016)","$ 4,225,000","$ 4,225,000"
"Hector Rondon","CHC","RP","$ 4,200,000","1 (2016)","$ 4,200,000","$ 4,200,000"
"Logan Morrison","TB","1B","$ 4,200,000","1 (2016)","$ 4,200,000","$ 4,200,000"
"Cody Allen","CLE","RP","$ 4,150,000","1 (2016)","$ 4,150,000","$ 4,150,000"
"Leonys Martin","SEA","CF","$ 4,150,000","1 (2016)","$ 4,150,000","$ 4,150,000"
"Brett Lawrie","CWS","2B","$ 4,125,000","1 (2016)","$ 4,125,000","$ 4,125,000"
"Jonathan Lucroy","MIL","C","$ 4,100,000","5 (2012-16)","$ 11,000,000","$ 2,200,000"
"Ivan Nova","NYY","RP","$ 4,100,000","1 (2016)","$ 4,100,000","$ 4,100,000"
"Jeurys Familia","NYM","RP","$ 4,100,000","1 (2016)","$ 4,100,000","$ 4,100,000"
"Hector Olivera","ATL","OF","$ 4,000,000","6 (2015-20)","$ 62,500,000","$ 10,416,666"
"Jedd Gyorko","STL","3B","$ 4,000,000","6 (2014-19)","$ 35,510,900","$ 5,918,483"
"Shawn Kelley","WSH","RP","$ 4,000,000","3 (2016-18)","$ 15,000,000","$ 5,000,000"
"Steve Cishek","SEA","RP","$ 4,000,000","2 (2016-17)","$ 10,000,000","$ 5,000,000"
"John Jaso","PIT","1B","$ 4,000,000","2 (2016-17)","$ 8,000,000","$ 4,000,000"
"Alex Cobb","TB","SP","$ 4,000,000","1 (2016)","$ 4,000,000","$ 4,000,000"
"Dioner Navarro","CWS","C","$ 4,000,000","1 (2016)","$ 4,000,000","$ 4,000,000"
"Jerry Blevins","NYM","RP","$ 4,000,000","1 (2016)","$ 4,000,000","$ 4,000,000"
"Jesse Chavez","TOR","RP","$ 4,000,000","1 (2016)","$ 4,000,000","$ 4,000,000"
"Joe Blanton","LAD","RP","$ 4,000,000","1 (2016)","$ 4,000,000","$ 4,000,000"
"Juan Uribe","CLE","3B","$ 4,000,000","1 (2016)","$ 4,000,000","$ 4,000,000"
"Gregor Blanco","SF","OF","$ 3,900,000","2 (2015-16)","$ 7,500,000","$ 3,750,000"
"Brian Matusz","BAL","RP","$ 3,900,000","1 (2016)","$ 3,900,000","$ 3,900,000"
"David Hernandez","PHI","RP","$ 3,900,000","1 (2016)","$ 3,900,000","$ 3,900,000"
"Justin Smoak","TOR","1B","$ 3,900,000","1 (2016)","$ 3,900,000","$ 3,900,000"
"Neftali Feliz","PIT","RP","$ 3,900,000","1 (2016)","$ 3,900,000","$ 3,900,000"
"Brett Cecil","TOR","RP","$ 3,800,000","1 (2016)","$ 3,800,000","$ 3,800,000"
"Jonathan Broxton","STL","RP","$ 3,750,000","2 (2016-17)","$ 7,500,000","$ 3,750,000"
"Drew Smyly","TB","SP","$ 3,750,000","1 (2016)","$ 3,750,000","$ 3,750,000"
"Ryan Hanigan","BOS","C","$ 3,700,000","3 (2014-16)","$ 10,750,000","$ 3,583,333"
"Welington Castillo","ARI","C","$ 3,700,000","1 (2016)","$ 3,700,000","$ 3,700,000"
"Jose Altuve","HOU","2B","$ 3,687,500","4 (2014-17)","$ 12,500,000","$ 3,125,000"
"Jordan Walden","STL","RP","$ 3,675,000","2 (2015-16)","$ 6,600,000","$ 3,300,000"
"Jorge Soler","CHC","RF","$ 3,666,666","9 (2012-20)","$ 30,000,000","$ 3,333,333"
"Jason Grilli","ATL","P","$ 3,625,000","2 (2015-16)","$ 8,000,000","$ 4,000,000"
"A.J. Pollock","ARI","CF","$ 3,500,000","2 (2016-17)","$ 10,250,000","$ 5,125,000"
"Charlie Blackmon","COL","CF","$ 3,500,000","1 (2016)","$ 3,500,000","$ 3,500,000"
"Francisco Cervelli","PIT","C","$ 3,500,000","1 (2016)","$ 3,500,000","$ 3,500,000"
"Tom Koehler","MIA","SP","$ 3,500,000","1 (2016)","$ 3,500,000","$ 3,500,000"
"Julio Teheran","ATL","P","$ 3,466,666","6 (2014-19)","$ 32,400,000","$ 5,400,000"
"Mike Dunn","MIA","P","$ 3,450,000","2 (2015-16)","$ 5,800,000","$ 2,900,000"
"Tony Watson","PIT","RP","$ 3,450,000","1 (2016)","$ 3,450,000","$ 3,450,000"
"A.J. Ramos","MIA","RP","$ 3,400,000","1 (2016)","$ 3,400,000","$ 3,400,000"
"Kole Calhoun","LAA","RF","$ 3,400,000","1 (2016)","$ 3,400,000","$ 3,400,000"
"Junichi Tazawa","BOS","RP","$ 3,375,000","1 (2016)","$ 3,375,000","$ 3,375,000"
"Starling Marte","PIT","LF","$ 3,333,333","6 (2014-19)","$ 31,000,000","$ 5,166,666"
"Desmond Jennings","TB","LF","$ 3,300,000","1 (2016)","$ 3,300,000","$ 3,300,000"
"Evan Gattis","HOU","DH","$ 3,300,000","1 (2016)","$ 3,300,000","$ 3,300,000"
"Shawn Tolleson","TEX","RP","$ 3,275,000","1 (2016)","$ 3,275,000","$ 3,275,000"
"Dee Gordon","MIA","2B","$ 3,242,202","5 (2016-20)","$ 50,000,000","$ 10,000,000"
"Raisel Iglesias","CIN","SP","$ 3,214,285","7 (2014-20)","$ 27,000,000","$ 3,857,142"
"Dustin Ackley","NYY","LF","$ 3,200,000","1 (2016)","$ 3,200,000","$ 3,200,000"
"Martin Perez","TEX","SP","$ 3,150,000","4 (2014-17)","$ 12,500,000","$ 3,125,000"
"Nick Hundley","COL","C","$ 3,150,000","2 (2015-16)","$ 6,250,000","$ 3,125,000"
"Danny Valencia","OAK","3B","$ 3,150,000","1 (2016)","$ 3,150,000","$ 3,150,000"
"Kenta Maeda","LAD","SP","$ 3,125,000","8 (2016-23)","$ 25,000,000","$ 3,125,000"
"Tom Wilhelmsen","TEX","RP","$ 3,100,000","1 (2016)","$ 3,100,000","$ 3,100,000"
"Jeff Locke","PIT","SP","$ 3,025,000","1 (2016)","$ 3,025,000","$ 3,025,000"
"Brian Dozier","MIN","2B","$ 3,000,000","4 (2015-18)","$ 20,000,000","$ 5,000,000"
"DJ LeMahieu","COL","2B","$ 3,000,000","2 (2016-17)","$ 7,800,000","$ 3,900,000"
"Oliver Perez","WSH","RP","$ 3,000,000","2 (2016-17)","$ 7,000,000","$ 3,500,000"
"A.J. Pierzynski","ATL","C","$ 3,000,000","1 (2016)","$ 3,000,000","$ 3,000,000"
"Alexei Ramirez","SD","SS","$ 3,000,000","1 (2016)","$ 3,000,000","$ 3,000,000"
"David Freese","PIT","3B","$ 3,000,000","1 (2016)","$ 3,000,000","$ 3,000,000"
"Juan Nicasio","PIT","RP","$ 3,000,000","1 (2016)","$ 3,000,000","$ 3,000,000"
"Mat Latos","CWS","SP","$ 3,000,000","1 (2016)","$ 3,000,000","$ 3,000,000"
"Stephen Drew","WSH","SS","$ 3,000,000","1 (2016)","$ 3,000,000","$ 3,000,000"
"Jordan Lyles","COL","SP","$ 2,975,000","1 (2016)","$ 2,975,000","$ 2,975,000"
"Marc Rzepczynski","OAK","RP","$ 2,950,000","1 (2016)","$ 2,950,000","$ 2,950,000"
"Derek Norris","SD","C","$ 2,925,000","1 (2016)","$ 2,925,000","$ 2,925,000"
"Zack Cozart","CIN","SS","$ 2,925,000","1 (2016)","$ 2,925,000","$ 2,925,000"
"Chris Archer","TB","SP","$ 2,916,667","6 (2014-19)","$ 25,500,000","$ 4,250,000"
"Michael Saunders","TOR","RF","$ 2,900,000","1 (2016)","$ 2,900,000","$ 2,900,000"
"Danny Espinosa","WSH","SS","$ 2,875,000","1 (2016)","$ 2,875,000","$ 2,875,000"
"Hyun-soo Kim","BAL","LF","$ 2,800,000","2 (2016-17)","$ 7,000,000","$ 3,500,000"
"Anthony Rendon","WSH","3B","$ 2,800,000","1 (2016)","$ 2,800,000","$ 2,800,000"
"Geovany Soto","LAA","C","$ 2,800,000","1 (2016)","$ 2,800,000","$ 2,800,000"
"Jose Fernandez","MIA","SP","$ 2,800,000","1 (2016)","$ 2,800,000","$ 2,800,000"
"Wily Peralta","MIL","SP","$ 2,800,000","1 (2016)","$ 2,800,000","$ 2,800,000"
"Yasmani Grandal","LAD","C","$ 2,800,000","1 (2016)","$ 2,800,000","$ 2,800,000"
"Adam Eaton","CWS","RF","$ 2,750,000","5 (2015-19)","$ 23,500,000","$ 4,700,000"
"Byung Ho Park","MIN","DH","$ 2,750,000","4 (2016-19)","$ 12,000,000","$ 3,000,000"
"Bryan Shaw","CLE","RP","$ 2,750,000","1 (2016)","$ 2,750,000","$ 2,750,000"
"Lonnie Chisenhall","CLE","RF","$ 2,725,000","1 (2016)","$ 2,725,000","$ 2,725,000"
"Daniel Hudson","ARI","RP","$ 2,700,000","1 (2016)","$ 2,700,000","$ 2,700,000"
"Yonder Alonso","OAK","1B","$ 2,650,000","1 (2016)","$ 2,650,000","$ 2,650,000"
"Adeiny Hechavarria","MIA","SS","$ 2,625,000","1 (2016)","$ 2,625,000","$ 2,625,000"
"Jean Segura","ARI","SS","$ 2,600,000","1 (2016)","$ 2,600,000","$ 2,600,000"
"Joe Kelly","BOS","SP","$ 2,600,000","1 (2016)","$ 2,600,000","$ 2,600,000"
"Mark Reynolds","COL","1B","$ 2,600,000","1 (2016)","$ 2,600,000","$ 2,600,000"
"Vance Worley","BAL","SP","$ 2,600,000","1 (2016)","$ 2,600,000","$ 2,600,000"
"Yan Gomes","CLE","C","$ 2,583,333","6 (2014-19)","$ 23,000,000","$ 3,833,333"
"Kelvin Herrera","KC","RP","$ 2,550,000","2 (2015-16)","$ 4,150,000","$ 2,075,000"
"Patrick Corbin","ARI","SP","$ 2,525,000","1 (2016)","$ 2,525,000","$ 2,525,000"
"Juan Lagares","NYM","CF","$ 2,500,000","5 (2015-19)","$ 23,553,696","$ 4,710,739"
"Jung-ho Kang","PIT","3B","$ 2,500,000","4 (2015-18)","$ 11,000,000","$ 2,750,000"
"Brayan Pena","STL","C","$ 2,500,000","2 (2016-17)","$ 5,000,000","$ 2,500,000"
"David Ross","CHC","C","$ 2,500,000","2 (2015-16)","$ 5,000,000","$ 2,500,000"
"Alex Avila","CWS","C","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Bud Norris","ATL","SP","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Chris Carter","MIL","1B","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"David Phelps","MIA","RP","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Jim Johnson","ATL","RP","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Sean Rodriguez","PIT","1B","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Seung-Hwan Oh","STL","RP","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Yusmeiro Petit","WSH","RP","$ 2,500,000","1 (2016)","$ 2,500,000","$ 2,500,000"
"Didi Gregorius","NYY","SS","$ 2,425,000","1 (2016)","$ 2,425,000","$ 2,425,000"
"Fernando Salas","LAA","RP","$ 2,400,000","1 (2016)","$ 2,400,000","$ 2,400,000"
"Erasmo Ramirez","TB","SP","$ 2,375,000","1 (2016)","$ 2,375,000","$ 2,375,000"
"Rubby De La Rosa","ARI","SP","$ 2,350,000","1 (2016)","$ 2,350,000","$ 2,350,000"
"Casey Fien","MIN","RP","$ 2,275,000","1 (2016)","$ 2,275,000","$ 2,275,000"
"Logan Forsythe","TB","2B","$ 2,250,000","2 (2016-17)","$ 10,250,000","$ 5,125,000"
"Chad Qualls","COL","RP","$ 2,250,000","2 (2016-17)","$ 6,000,000","$ 3,000,000"
"Josh Tomlin","CLE","SP","$ 2,250,000","2 (2016-17)","$ 5,500,000","$ 2,750,000"
"Jared Hughes","PIT","RP","$ 2,175,000","1 (2016)","$ 2,175,000","$ 2,175,000"
"Eduardo Escobar","MIN","SS","$ 2,150,000","1 (2016)","$ 2,150,000","$ 2,150,000"
"Daniel Descalso","COL","SS","$ 2,100,000","2 (2015-16)","$ 3,600,000","$ 1,800,000"
"Avisail Garcia","CWS","RF","$ 2,100,000","1 (2016)","$ 2,100,000","$ 2,100,000"
"Jose Iglesias","DET","SS","$ 2,100,000","1 (2016)","$ 2,100,000","$ 2,100,000"
"Jordy Mercer","PIT","SS","$ 2,075,000","1 (2016)","$ 2,075,000","$ 2,075,000"
"Salvador Perez","KC","C","$ 2,000,000","6 (2016-21)","$ 54,500,000","$ 9,083,333"
"Mike Minor","KC","SP","$ 2,000,000","2 (2016-17)","$ 7,250,000","$ 3,625,000"
"Tyler Flowers","ATL","C","$ 2,000,000","2 (2016-17)","$ 5,000,000","$ 2,500,000"
"Alexi Ogando","ATL","RP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Alfredo Simon","CIN","SP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Clayton Richard","CHC","RP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Dillon Gee","KC","SP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Felix Doubront","OAK","SP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Franklyn Morales","TOR","RP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Freddy Galvis","PHI","SS","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Ichiro Suzuki","MIA","LF","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Jimmy Rollins","CWS","SS","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Kelly Johnson","ATL","2B","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Marwin Gonzalez","HOU","SS","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Matt Albers","CWS","RP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Mike Aviles","DET","SS","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Peter Bourjos","PHI","LF","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Ryan Vogelsong","PIT","SP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Tommy Hunter","CLE","RP","$ 2,000,000","1 (2016)","$ 2,000,000","$ 2,000,000"
"Sam Fuld","OAK","LF","$ 1,925,000","1 (2016)","$ 1,925,000","$ 1,925,000"
"Josh Collmenter","ARI","RP","$ 1,825,000","1 (2016)","$ 1,825,000","$ 1,825,000"
"Dylan Bundy","BAL","SP","$ 1,800,000","1 (2016)","$ 1,800,000","$ 1,800,000"
"Eric O'Flaherty","ATL","RP","$ 1,750,000","1 (2016)","$ 1,750,000","$ 1,750,000"
"Jarrod Dyson","KC","RF","$ 1,725,000","1 (2016)","$ 1,725,000","$ 1,725,000"
"Adam Warren","CHC","RP","$ 1,700,000","1 (2016)","$ 1,700,000","$ 1,700,000"
"Trevor Bauer","CLE","SP","$ 1,697,500","1 (2016)","$ 1,697,500","$ 1,697,500"
"Justin Ruggiano","TEX","RF","$ 1,650,000","1 (2016)","$ 1,650,000","$ 1,650,000"
"Matt Adams","STL","1B","$ 1,650,000","1 (2016)","$ 1,650,000","$ 1,650,000"
"Charlie Furbush","SEA","RP","$ 1,600,000","1 (2016)","$ 1,600,000","$ 1,600,000"
"Fernando Rodney","SD","RP","$ 1,600,000","1 (2016)","$ 1,600,000","$ 1,600,000"
"Matt Thornton","SD","P","$ 1,600,000","1 (2016)","$ 1,600,000","$ 1,600,000"
"Sean Doolittle","OAK","RP","$ 1,580,000","5 (2014-18)","$ 10,500,000","$ 2,100,000"
"Robinson Chirinos","TEX","C","$ 1,550,000","1 (2016)","$ 1,550,000","$ 1,550,000"
"Justin Wilson","DET","RP","$ 1,525,000","1 (2016)","$ 1,525,000","$ 1,525,000"
"Cliff Pennington","LAA","2B","$ 1,500,000","2 (2016-17)","$ 3,750,000","$ 1,875,000"
"Tony Barnette","TEX","RP","$ 1,500,000","2 (2016-17)","$ 3,500,000","$ 1,750,000"
"Chris Capuano","MIL","RP","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Craig Breslow","MIA","RP","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Eric Sogard","OAK","2B","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Franklin Gutierrez","SEA","LF","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Hank Conger","TB","C","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"James Russell","PHI","RP","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Jeff Mathis","MIA","C","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Rickie Weeks","ARI","LF","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Ruben Tejada","STL","SS","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Ryan Flaherty","BAL","2B","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Ryan Raburn","COL","OF","$ 1,500,000","1 (2016)","$ 1,500,000","$ 1,500,000"
"Carlos Villanueva","SD","RP","$ 1,490,314","1 (2016)","$ 1,490,314","$ 1,490,314"
"Eduardo Nunez","MIN","SS","$ 1,475,000","1 (2016)","$ 1,475,000","$ 1,475,000"
"Tim Collins","KC","RP","$ 1,475,000","1 (2016)","$ 1,475,000","$ 1,475,000"
"Will Smith","MIL","RP","$ 1,475,000","1 (2016)","$ 1,475,000","$ 1,475,000"
"Andres Blanco","PHI","2B","$ 1,450,000","1 (2016)","$ 1,450,000","$ 1,450,000"
"J.J. Hoover","CIN","RP","$ 1,400,000","1 (2016)","$ 1,400,000","$ 1,400,000"
"Jeanmar Gomez","PHI","RP","$ 1,400,000","1 (2016)","$ 1,400,000","$ 1,400,000"
"Seth Maness","STL","RP","$ 1,400,000","1 (2016)","$ 1,400,000","$ 1,400,000"
"Jose Lobaton","WSH","C","$ 1,387,500","1 (2016)","$ 1,387,500","$ 1,387,500"
"Daniel Nava","LAA","LF","$ 1,375,000","1 (2016)","$ 1,375,000","$ 1,375,000"
"Chris Stewart","PIT","C","$ 1,350,000","2 (2016-17)","$ 3,000,000","$ 1,500,000"
"Bryan Morris","MIA","RP","$ 1,350,000","1 (2016)","$ 1,350,000","$ 1,350,000"
"Drew Pomeranz","SD","RP","$ 1,350,000","1 (2016)","$ 1,350,000","$ 1,350,000"
"Adam Ottavino","COL","RP","$ 1,300,000","3 (2016-18)","$ 10,400,000","$ 3,466,666"
"Nolan Reimold","BAL","LF","$ 1,300,000","1 (2016)","$ 1,300,000","$ 1,300,000"
"Zach McAllister","CLE","RP","$ 1,300,000","1 (2016)","$ 1,300,000","$ 1,300,000"
"Justin Grimm","CHC","RP","$ 1,275,000","1 (2016)","$ 1,275,000","$ 1,275,000"
"Randall Delgado","ARI","SP","$ 1,275,000","1 (2016)","$ 1,275,000","$ 1,275,000"
"Jake Diekman","TEX","RP","$ 1,255,000","1 (2016)","$ 1,255,000","$ 1,255,000"
"Kolten Wong","STL","2B","$ 1,250,000","5 (2016-20)","$ 25,500,000","$ 5,100,000"
"Brad Brach","BAL","RP","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Chris Heisey","WSH","LF","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Fernando Abad","MIN","RP","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Gordon Beckham","ATL","3B","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Joel Peralta","SEA","RP","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Matt Belisle","WSH","RP","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Robbie Ross","BOS","RP","$ 1,250,000","1 (2016)","$ 1,250,000","$ 1,250,000"
"Scott Van Slyke","LAD","LF","$ 1,225,000","1 (2016)","$ 1,225,000","$ 1,225,000"
"Yordano Ventura","KC","SP","$ 1,200,000","5 (2015-19)","$ 23,000,000","$ 4,600,000"
"Chris Narveson","MIA","RP","$ 1,200,000","1 (2016)","$ 1,200,000","$ 1,200,000"
"Brandon Guyer","TB","LF","$ 1,185,000","1 (2016)","$ 1,185,000","$ 1,185,000"
"Drew Butera","KC","C","$ 1,162,500","1 (2016)","$ 1,162,500","$ 1,162,500"
"George Kontos","SF","RP","$ 1,150,000","1 (2016)","$ 1,150,000","$ 1,150,000"
"Martin Maldonado","MIL","C","$ 1,125,000","2 (2015-16)","$ 1,950,000","$ 975,000"
"Ryan Cook","SEA","RP","$ 1,100,000","1 (2016)","$ 1,100,000","$ 1,100,000"
"Chris Hatcher","LAD","RP","$ 1,065,000","1 (2016)","$ 1,065,000","$ 1,065,000"
"Aaron Loup","TOR","RP","$ 1,050,000","1 (2016)","$ 1,050,000","$ 1,050,000"
"Carlos Torres","MIL","RP","$ 1,050,000","1 (2016)","$ 1,050,000","$ 1,050,000"
"Darwin Barney","TOR","2B","$ 1,050,000","1 (2016)","$ 1,050,000","$ 1,050,000"
"Fernando Rodriguez","OAK","RP","$ 1,050,000","1 (2016)","$ 1,050,000","$ 1,050,000"
"Christian Yelich","MIA","LF","$ 1,000,000","7 (2015-21)","$ 49,570,000","$ 7,081,428"
"Tyler Chatwood","COL","SP","$ 1,000,000","2 (2015-16)","$ 2,000,000","$ 1,000,000"
"Brandon Barnes","COL","LF","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Brett Wallace","SD","1B","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Chien-Ming Wang","KC","SP","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Collin Cowgill","CLE","LF","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Cory Luebke","PIT","RP","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Craig Gentry","LAA","LF","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Dae-Ho Lee","SEA","1B","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Dustin McGowan","MIA","RP","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Gavin Floyd","TOR","RP","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Jeff Francoeur","ATL","RF","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Marlon Byrd","CLE","RF","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Matt Joyce","PIT","LF","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Ross Detwiler","CLE","RP","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Ryan Webb","TB","RP","$ 1,000,000","1 (2016)","$ 1,000,000","$ 1,000,000"
"Carter Capps","MIA","RP","$ 987,500","1 (2016)","$ 987,500","$ 987,500"
"Chris Gimenez","TEX","C","$ 975,000","1 (2016)","$ 975,000","$ 975,000"
"Zach Putnam","CWS","RP","$ 975,000","1 (2016)","$ 975,000","$ 975,000"
"Blaine Boyer","MIL","RP","$ 950,000","1 (2016)","$ 950,000","$ 950,000"
"Emmanuel Burriss","PHI","2B","$ 925,000","1 (2016)","$ 925,000","$ 925,000"
"Nate Jones","CWS","RP","$ 900,000","3 (2016-18)","$ 8,000,000","$ 2,666,666"
"Andrew Romine","DET","3B","$ 900,000","1 (2016)","$ 900,000","$ 900,000"
"Josh Fields","HOU","RP","$ 900,000","1 (2016)","$ 900,000","$ 900,000"
"Tanner Scheppers","TEX","RP","$ 900,000","1 (2016)","$ 900,000","$ 900,000"
"Arodys Vizcaino","ATL","RP","$ 897,500","1 (2016)","$ 897,500","$ 897,500"
"Dana Eveland","TB","RP","$ 895,000","1 (2016)","$ 895,000","$ 895,000"
"Erik Kratz","HOU","C","$ 850,000","1 (2016)","$ 850,000","$ 850,000"
"Jarrod Parker","OAK","SP","$ 850,000","1 (2016)","$ 850,000","$ 850,000"
"Dan Jennings","CWS","RP","$ 810,000","1 (2016)","$ 810,000","$ 810,000"
"Evan Scribner","SEA","RP","$ 807,500","1 (2016)","$ 807,500","$ 807,500"
"Adam Rosales","SD","1B","$ 800,000","1 (2016)","$ 800,000","$ 800,000"
"Josh Thole","TOR","C","$ 800,000","1 (2016)","$ 800,000","$ 800,000"
"Ross Ohlendorf","CIN","RP","$ 800,000","1 (2016)","$ 800,000","$ 800,000"
"Jeff Manship","CLE","RP","$ 765,000","1 (2016)","$ 765,000","$ 765,000"
"Louis Coleman","LAD","RP","$ 725,000","1 (2016)","$ 725,000","$ 725,000"
"Jason Gurka","COL","RP","$ 660,000","1 (2016)","$ 660,000","$ 660,000"
"Kris Bryant","CHC","3B","$ 652,000","1 (2016)","$ 652,000","$ 652,000"
"Ji-Man Choi","LAA","1B","$ 650,000","1 (2016)","$ 650,000","$ 650,000"
"Xander Bogaerts","BOS","SS","$ 650,000","1 (2016)","$ 650,000","$ 650,000"
"Josh Edgin","NYM","RP","$ 625,000","1 (2016)","$ 625,000","$ 625,000"
"Jacob deGrom","NYM","SP","$ 607,000","1 (2016)","$ 607,000","$ 607,000"
"Brock Holt","BOS","2B","$ 606,000","1 (2016)","$ 606,000","$ 606,000"
"Blake Wood","CIN","RP","$ 600,000","1 (2016)","$ 600,000","$ 600,000"
"Jim Henderson","NYM","RP","$ 600,000","1 (2016)","$ 600,000","$ 600,000"
"Kyle Gibson","MIN","SP","$ 587,500","1 (2016)","$ 587,500","$ 587,500"
"Eric Fryer","STL","C","$ 575,000","1 (2016)","$ 575,000","$ 575,000"
"Logan Kensing","DET","RP","$ 575,000","1 (2016)","$ 575,000","$ 575,000"
"Aaron Hicks","NYY","CF","$ 574,000","1 (2016)","$ 574,000","$ 574,000"
"Billy Hamilton","CIN","CF","$ 570,000","1 (2016)","$ 570,000","$ 570,000"
"Marcell Ozuna","MIA","CF","$ 570,000","1 (2016)","$ 570,000","$ 570,000"
"Mookie Betts","BOS","CF","$ 566,000","1 (2016)","$ 566,000","$ 566,000"
"Tom Layne","BOS","RP","$ 563,750","1 (2016)","$ 563,750","$ 563,750"
"Austin Romine","NYY","C","$ 556,000","1 (2016)","$ 556,000","$ 556,000"
"Cole Figueroa","PIT","2B","$ 550,000","1 (2016)","$ 550,000","$ 550,000"
"Cory Gearrin","SF","RP","$ 550,000","1 (2016)","$ 550,000","$ 550,000"
"Jarred Cosart","MIA","SP","$ 550,000","1 (2016)","$ 550,000","$ 550,000"
"Gerrit Cole","PIT","SP","$ 548,000","1 (2016)","$ 548,000","$ 548,000"
"Miguel Sano","MIN","RF","$ 547,500","1 (2016)","$ 547,500","$ 547,500"
"Jackie Bradley Jr.","BOS","CF","$ 546,500","1 (2016)","$ 546,500","$ 546,500"
"Zack Wheeler","NYM","SP","$ 546,250","1 (2016)","$ 546,250","$ 546,250"
"Eugenio Suarez","CIN","3B","$ 545,000","1 (2016)","$ 545,000","$ 545,000"
